year,month,year_month,airport,residence_country,traveller_type,counts
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Jamaica,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Japan,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Japan,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Japan,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Korea, South",Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Korea, South",Tourists (overnight),5
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Korea, South",Visitors,5
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Lebanon,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Lebanon,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Lebanon,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Malaysia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Malaysia,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Malaysia,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Mexico,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Mexico,Tourists (overnight),93
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Mexico,Visitors,93
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Morocco,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Morocco,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Morocco,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Netherlands,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Netherlands,Tourists (overnight),42
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Netherlands,Visitors,42
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",New Zealand,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",New Zealand,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",New Zealand,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Nigeria,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Nigeria,Tourists (overnight),21
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Nigeria,Visitors,21
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Non-resident visitors entering Canada, air",Excursionists (same-day),2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Non-resident visitors entering Canada, air",Tourists (overnight),1781
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Non-resident visitors entering Canada, air",Visitors,1783
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Norway,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Norway,Tourists (overnight),2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Norway,Visitors,2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Oceania,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Oceania,Tourists (overnight),6
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Oceania,Visitors,6
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Oceania - other countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Oceania - other countries,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Oceania - other countries,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Pakistan,Excursionists (same-day),0
